initial_weight_kg,age_days,sex_male,bos_indicus_proportion_pct,supplement_amount_kg_day,supplement_crude_protein_pct,supplement_metabolizable_energy,supplementation_frequency_days_week,forage_crude_protein_pct,forage_digestibility_pct,days_on_pasture,paddock_rotation,transport_stress,mean_temperature_c,accumulated_rainfall_mm,days_since_health_event,health_event_duration_days,recent_vaccination,recent_deworming,adg_kg_day
179,530,0,50.0,0.942,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.373961218836565
205,530,0,50.0,0.972,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.329639889196676
207,530,0,50.0,1.560,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.401662049861496
240,530,0,50.0,1.104,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.354570637119114
222,530,0,50.0,0.912,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.227146814404432
193,530,0,50.0,0.954,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.346260387811634
169,530,0,50.0,0.87,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.335180055401662
194,530,0,50.0,0.954,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.343490304709141
265,530,0,50.0,1.122,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.301939058171745
275,530,0,50.0,0.84,35,2.2,7,11.35,63.0,43,1,0,31.0,202.4,0,0,0,0,0.116279069767442
230,530,0,50.0,0.675,35,2.2,7,6.58,53.8,43,1,0,24.0,202.4,0,0,0,0,-0.116279069767442
177,530,0,50.0,0.531,35,2.2,7,6.58,53.8,148,1,0,24.0,202.4,0,0,0,0,0.0
278,530,0,50.0,0.81,35,2.2,7,6.58,53.8,43,1,0,24.0,202.4,0,0,0,0,-0.186046511627907
192,530,0,50.0,0.594,35,2.2,7,6.58,53.8,43,1,0,24.0,202.4,0,0,0,0,0.13953488372093
121,530,0,50.0,0.603,35,2.2,7,6.58,53.8,154,1,0,24.0,202.4,0,0,0,0,0.519480519480519
272,530,0,50.0,0.822,35,2.2,7,11.35,63.0,43,1,0,31.0,202.4,0,0,0,0,0.465116279069767
180,530,0,50.0,0.54,35,2.2,7,6.58,53.8,148,1,0,24.0,202.4,0,0,0,0,0.0
238,530,0,50.0,0.714,35,2.2,7,6.58,53.8,43,1,0,24.0,202.4,0,0,0,0,0.0
