sexo,raca,idade_dias,peso_inicial_kg,qualidade_pasto,tipo_pasto,taxa_lotacao_ua_ha,area_pasto_ha_animal,quantidade_suplemento_kg_dia,suplementacao_acesso_livre,evento_sanitario_recente,tipo_evento_sanitario,vermifugacao_recente,vacina_recente,tratamento_recente,temperatura_media,estacao_ano,rotacao_piquete,condicao_corporal,tipo_suplementato,frequencia_suplementacao_semana,facilidade_acesso_agua,severidade_evento,estresse_transporte,estresse_manejo,dias_evento_sanitario,tipo_sistema_manejo,dias_permanecia,tipo_fonte_agua,saida_ganho_total_kg,saida_gmd_kg_dia
F,anelorada,530,165,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.834,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,113,0.295039164490862
F,guzera,530,149,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.87,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,141,0.368146214099217
F,guzera,530,181,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.846,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,101,0.263707571801567
F,guzera,530,172,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.891,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,125,0.326370757180157
F,guzera,530,196,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.96,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,124,0.323759791122715
F,guzera,530,179,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.864,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,109,0.284595300261097
F,anelorada,530,186,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,1.032,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,158,0.412532637075718
F,anelorada,530,195,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,1.02,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,145,0.378590078328982
F,anelorada,530,185,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.948,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,131,0.342036553524804
F,anelorada,530,144,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.783,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,117,0.305483028720627
